"Title","Date"
"생체정보 무단수집 벌금 500억원… EU, 세계 첫 ‘AI 법’ 합의 [뉴스 투..."," 세계일보언론사 선정A2면 1단2023.12.10.네이버뉴스 "
"이종호 “우주항공청·AI법 통과 늦어지면 韓국제경쟁력 훼손”"," 문화일보16면 TOP2023.12.26.네이버뉴스 "
"달빛철도 특별법·광주AI영재고 등 지역현안 국회처리 지연"," 연합뉴스2023.12.20.네이버뉴스 "
"이용빈 의원, 광주 AI영재고 설립법안 국민의힘 발목 잡아"," 프라임경제2023.12.20. "
"김주하 AI 앵커가 전하는 주요뉴스"," MBN2023.12.27.네이버뉴스 "
"[국민의 기업] “창작자 권리 보호하고 AI 산업이 발전할 수 있는 계기가..."," 중앙일보C5면 1단2023.12.21.네이버뉴스 "
"[손병채의 센스메이킹]〈27〉생성AI의 2023년, 이후의 인간의 의미"," 전자신문26면 3단2023.12.25.네이버뉴스 "
"[뉴스1 선정 국내 10대뉴스] 전세사기·흉기난동 '공분'…한미일 동맹·..."," 뉴스1언론사 선정2023.12.18.네이버뉴스 "
"女정치인 보조금 세분화·성범죄자 배달 금지 등 법안 130여건 통과"," 서울신문언론사 선정5면 1단2023.12.21.네이버뉴스 "
"美·英, MS·오픈AI 반독점 위반 조사"," 매일경제언론사 선정A3면 1단2023.12.10.네이버뉴스 "
"EU, 세계 첫 'AI 규제법' 제정 논의 재개"," 지디넷코리아언론사 선정2023.12.08.네이버뉴스 "
"EU, 세계 최초로 AI 규제법 합의…어기면 벌금 ‘500억’"," KBS언론사 선정2023.12.09.네이버뉴스 "
"""AI 시대, 실질적인 개인정보 가이드라인 필요""…스타트업 한목소리"," 디지털데일리2023.12.21.네이버뉴스 "
"“AI지도로 北 상황도 파악”… AI서 기후·식량 해법 찾는 美스타트업..."," 동아일보A28면 TOP2023.12.20.네이버뉴스 "
